country_code;region_name;iata;icao;airport;latitude;longitude
CN;Shaanxi;LLV;ZBLL;Luliang Airport;37,68330;111,14300
CN;Shaanxi;SIA;ZLSN;Xi'an Xiguan Airport;34,37670;109,12000
CN;Shaanxi;TYN;ZBYN;Taiyuan Wusu International Airport;37,74690;112,62800
CN;Shaanxi;UYN;ZLYL;Yulin Yuyang Airport;38,35970;109,59100
CN;Shaanxi;WUT;ZBXZ;Xinzhou Wutaishan Airport;38,59750;112,96900
CN;Shaanxi;XIY;ZLXY;Xi'an Xianyang International Airport;34,44710;108,75200
CN;Shandong Sheng;HZA;ZSHZ;Heze Mudan Airport;35,21330;115,73700
CN;Shandong;DOY;ZSDY;Dongying Shengli Airport;37,50860;118,78800
CN;Shandong;JNG;ZLJN;Jining Qufu Airport;35,29280;116,34700
CN;Shandong;LYI;ZSLY;Linyi Shubuling Airport;35,04610;118,41200
CN;Shandong;PNJ;;Penglai Shahekou Airport;42,44640;119,57400
CN;Shandong;RIZ;;Rizhao Shanzihe Airport;35,40500;119,32400
CN;Shandong;TAO;ZSQD;Qingdao Liuting International Airport;36,26610;120,37400
CN;Shandong;TNA;ZSJN;Jinan Yaoqiang International Airport;36,85720;117,21600
CN;Shandong;WEF;ZSWF;Weifang Airport;36,64670;119,11900
CN;Shandong;WEH;ZSWH;Weihai Dashuibo Airport;37,18710;122,22900
CN;Shandong;YNT;ZSYT;Yantai Penglai International Airport;37,65720;120,98700
CN;Shanghai;PVG;ZSPD;Shanghai Pudong International Airport;31,14340;121,80500
CN;Shanghai;SHA;ZSSS;Shanghai Hongqiao International Airport;31,19790;121,33600
CN;Shanxi;YCU;ZBYC;Yuncheng Guangong Airport;35,11640;111,03100
CN;Sichuan Sheng;DZH;ZUDA;Dazhou Jinya Airport;31,04000;107,44000
CN;Sichuan;AHJ;ZUHY;Hongyuan Airport;32,53150;102,35200
CN;Sichuan;BZX;;Bazhong Enyang Airport;31,73840;106,64500
CN;Sichuan;CTU;ZUUU;Chengdu Shuangliu International Airport;30,57850;103,94700
CN;Sichuan;DAX;ZUDX;Dazhou Heshi Airport;31,13020;107,42900
CN;Sichuan;DCY;ZUDC;Daocheng Yading Airport;29,32310;100,05300
CN;Sichuan;GHN;ZUGH;Guanghan Airport;30,94850;104,33000
CN;Sichuan;GYS;ZUGU;Guangyuan Panlong Airport;32,39110;105,70200
CN;Sichuan;JZH;ZUJZ;Jiuzhai Huanglong Airport;32,85330;103,68200
CN;Sichuan;KGT;ZUKD;Kangding Airport;30,15750;101,73500
CN;Sichuan;LZO;ZULZ;Luzhou Yunlong Airport;29,03000;105,47000
CN;Sichuan;MIG;ZUMY;Mianyang Nanjiao Airport;31,42810;104,74100
CN;Sichuan;NAO;ZUNC;Nanchong Gaoping Airport;30,79550;106,16300
CN;Sichuan;PZI;ZUZH;Panzhihua Bao'anying Airport;26,54000;101,79900
CN;Sichuan;TFU;ZUTF;Chengdu Tianfu International Airport;30,31900;104,44500
CN;Sichuan;XIC;ZUXC;Xichang Qingshan Airport;27,98910;102,18400
CN;Sichuan;YBP;ZUYB;Yibin Caiba Airport;28,80060;104,54500
CN;Tianjin;TSN;ZBTJ;Tianjin Binhai International Airport;39,12440;117,34600
CN;Xinjiang;AAT;ZWAT;Altay Airport;47,74990;88,08580
CN;Xinjiang;AKU;ZWAK;Aksu Airport;41,26250;80,29170
CN;Xinjiang;BPL;ZWBL;Bole Alashankou Airport;44,89500;82,30000
CN;Xinjiang;FYN;ZWFY;Fuyun Koktokay Airport;46,80420;89,51200
CN;Xinjiang;HMI;ZWHM;Hami Airport (Kumul Airport);42,84140;93,66920
CN;Xinjiang;HTN;ZWTN;Hotan Airport;37,03850;79,86490
CN;Xinjiang;IQM;ZWCM;Qiemo Airport;38,23360;85,46560
CN;Xinjiang;KCA;ZWKC;Kuqa Qiuci Airport;41,67790;82,87290
CN;Xinjiang;KHG;ZWSH;Kashgar Airport (Kashi Airport);39,54290;76,02000
CN;Xinjiang;KJI;ZWKN;Kanas Airport;48,22230;86,99590
CN;Xinjiang;KRL;ZWKL;Korla Airport;41,69780;86,12890
